FID	Sample name	Superpopulation code
0	NA18908_NA18908	AFR
0	NA18560_NA18560	EAS
0	NA18910_NA18910	AFR
0	NA18565_NA18565	EAS
0	NA18915_NA18915	AFR
0	NA18572_NA18572	EAS
0	NA18934_NA18934	AFR
0	NA18933_NA18933	AFR
0	NA18939_NA18939	EAS
0	NA18940_NA18940	EAS
0	NA18941_NA18941	EAS
0	NA18945_NA18945	EAS
0	NA18946_NA18946	EAS
0	NA18952_NA18952	EAS
0	NA18953_NA18953	EAS
0	NA18957_NA18957	EAS
0	NA18960_NA18960	EAS
0	NA18964_NA18964	EAS
0	NA18629_NA18629	EAS
0	NA18969_NA18969	EAS
0	NA18631_NA18631	EAS
0	NA18971_NA18971	EAS
0	NA18636_NA18636	EAS
0	NA18976_NA18976	EAS
0	NA18643_NA18643	EAS
0	NA18983_NA18983	EAS
0	NA18648_NA18648	EAS
0	NA18988_NA18988	EAS
0	NA18749_NA18749	EAS
0	NA18990_NA18990	EAS
0	NA18995_NA18995	EAS
0	NA19001_NA19001	EAS
0	NA19006_NA19006	EAS
0	NA18864_NA18864	AFR
0	NA18871_NA18871	AFR
0	NA11829_NA11829	EUR
0	NA12342_NA12342	EUR
0	NA11831_NA11831	EUR
0	NA12347_NA12347	EUR
0	NA11843_NA11843	EUR
0	NA12400_NA12400	EUR
0	NA11881_NA11881	EUR
0	NA11893_NA11893	EUR
0	NA11918_NA11918	EUR
0	NA11920_NA11920	EUR
0	NA12760_NA12760	EUR
0	NA11932_NA11932	EUR
0	NA12777_NA12777	EUR
0	NA11994_NA11994	EUR
0	NA18965_NA18965	EAS
0	NA12005_NA12005	EUR
0	NA18972_NA18972	EAS
0	NA12043_NA12043	EUR
0	NA18977_NA18977	EAS
0	NA18577_NA18577	EAS
0	NA18984_NA18984	EAS
0	NA18591_NA18591	EAS
0	NA18989_NA18989	EAS
0	NA18596_NA18596	EAS
0	NA18991_NA18991	EAS
0	NA18609_NA18609	EAS
0	NA19002_NA19002	EAS
0	NA18611_NA18611	EAS
0	NA19007_NA19007	EAS
0	NA18616_NA18616	EAS
0	NA19019_NA19019	AFR
0	NA18623_NA18623	EAS
0	NA19026_NA19026	AFR
0	NA18628_NA18628	EAS
0	NA06984_NA06984	EUR
0	NA18630_NA18630	EAS
0	NA06989_NA06989	EUR
0	NA18635_NA18635	EAS
0	NA18642_NA18642	EAS
0	NA18647_NA18647	EAS
0	NA18748_NA18748	EAS
0	NA18856_NA18856	AFR
0	NA12776_NA12776	EUR
0	NA12815_NA12815	EUR
0	NA12827_NA12827	EUR
0	NA19108_NA19108	AFR
0	NA12872_NA12872	EUR
0	NA12889_NA12889	EUR
0	NA18488_NA18488	AFR
0	NA19141_NA19141	AFR
0	NA12144_NA12144	EUR
0	NA19146_NA19146	AFR
0	NA12156_NA12156	EUR
0	NA19153_NA19153	AFR
0	NA19160_NA19160	AFR
0	NA12283_NA12283	EUR
0	NA19172_NA19172	AFR
0	NA12341_NA12341	EUR
0	NA19184_NA19184	AFR
0	NA19189_NA19189	AFR
0	NA07051_NA07051	EUR
0	NA07056_NA07056	EUR
0	NA19317_NA19317	AFR
0	NA07347_NA07347	EUR
0	NA19324_NA19324	AFR
0	NA19331_NA19331	AFR
0	NA19350_NA19350	AFR
0	NA19355_NA19355	AFR
0	HG04222_HG04222	SAS
0	NA19374_NA19374	AFR
0	HG04227_HG04227	SAS
0	NA19379_NA19379	AFR
0	HG04239_HG04239	SAS
0	NA19393_NA19393	AFR
0	NA07037_NA07037	EUR
0	NA19398_NA19398	AFR
0	NA19401_NA19401	AFR
0	NA18868_NA18868	AFR
0	NA18870_NA18870	AFR
0	NA19437_NA19437	AFR
0	NA18907_NA18907	AFR
0	NA19449_NA19449	AFR
0	NA19451_NA19451	AFR
0	NA19456_NA19456	AFR
0	NA19463_NA19463	AFR
0	NA19152_NA19152	AFR
0	NA19468_NA19468	AFR
0	NA19171_NA19171	AFR
0	NA19475_NA19475	AFR
0	NA19190_NA19190	AFR
0	NA19658_NA19658	AMR
0	NA19210_NA19210	AFR
0	NA19222_NA19222	AFR
0	NA19747_NA19747	AMR
0	NA19239_NA19239	AFR
0	NA19759_NA19759	AMR
0	NA19309_NA19309	AFR
0	NA19761_NA19761	AMR
0	NA19316_NA19316	AFR
0	NA19773_NA19773	AMR
0	NA19323_NA19323	AFR
0	NA19328_NA19328	AFR
0	NA19780_NA19780	AMR
0	NA19347_NA19347	AFR
0	NA19785_NA19785	AMR
0	NA19792_NA19792	AMR
0	NA19378_NA19378	AFR
0	NA19380_NA19380	AFR
0	NA19901_NA19901	AFR
0	NA19385_NA19385	AFR
0	NA19397_NA19397	AFR
0	NA19429_NA19429	AFR
0	NA19920_NA19920	AFR
0	NA19431_NA19431	AFR
0	NA19982_NA19982	AFR
0	NA19436_NA19436	AFR
0	NA19443_NA19443	AFR
0	NA20282_NA20282	AFR
0	NA19448_NA19448	AFR
0	NA19455_NA19455	AFR
0	NA19684_NA19684	AMR
0	NA19462_NA19462	AFR
0	NA19704_NA19704	AFR
0	NA19467_NA19467	AFR
0	NA19711_NA19711	AFR
0	NA19474_NA19474	AFR
0	NA19716_NA19716	AMR
0	NA19652_NA19652	AMR
0	NA19723_NA19723	AMR
0	NA19657_NA19657	AMR
0	NA19664_NA19664	AMR
0	NA19669_NA19669	AMR
0	NA19676_NA19676	AMR
